#trajectory
#pose_format: tx ty tz qx qy qz qw
epoch: 57 pose: 0.8480 0.0941 0.0067 -0.0049 -0.0069 0.1392 0.9902
epoch: 58 pose: 0.8764 0.1022 0.0071 -0.0050 -0.0069 0.1459 0.9893
epoch: 59 pose: 0.9051 0.1109 0.0074 -0.0050 -0.0068 0.1517 0.9884
epoch: 60 pose: 0.9342 0.1200 0.0078 -0.0050 -0.0067 0.1579 0.9874
epoch: 61 pose: 0.9636 0.1297 0.0082 -0.0051 -0.0067 0.1640 0.9864
epoch: 62 pose: 0.9934 0.1399 0.0085 -0.0051 -0.0066 0.1694 0.9855
epoch: 63 pose: 1.0236 0.1506 0.0089 -0.0051 -0.0065 0.1742 0.9847
epoch: 64 pose: 1.0541 0.1617 0.0092 -0.0052 -0.0063 0.1798 0.9837
epoch: 65 pose: 1.0850 0.1734 0.0096 -0.0053 -0.0062 0.1862 0.9825
epoch: 66 pose: 1.1162 0.1856 0.0099 -0.0053 -0.0061 0.1929 0.9812
epoch: 67 pose: 1.1476 0.1985 0.0103 -0.0054 -0.0060 0.1995 0.9799
epoch: 68 pose: 1.1794 0.2120 0.0106 -0.0054 -0.0059 0.2052 0.9787
epoch: 69 pose: 1.2114 0.2261 0.0109 -0.0055 -0.0058 0.2115 0.9773
epoch: 70 pose: 1.2437 0.2407 0.0113 -0.0055 -0.0057 0.2171 0.9761
epoch: 71 pose: 1.2764 0.2560 0.0116 -0.0055 -0.0056 0.2232 0.9747
epoch: 72 pose: 1.3092 0.2719 0.0119 -0.0056 -0.0055 0.2293 0.9733
epoch: 73 pose: 1.3423 0.2884 0.0122 -0.0056 -0.0054 0.2349 0.9720
epoch: 74 pose: 1.3757 0.3055 0.0125 -0.0056 -0.0053 0.2413 0.9704
epoch: 75 pose: 1.4093 0.3233 0.0128 -0.0056 -0.0051 0.2477 0.9688
epoch: 76 pose: 1.4430 0.3418 0.0130 -0.0056 -0.0050 0.2543 0.9671
epoch: 77 pose: 1.4770 0.3610 0.0133 -0.0055 -0.0048 0.2600 0.9656
epoch: 78 pose: 1.5111 0.3808 0.0136 -0.0055 -0.0047 0.2659 0.9640
epoch: 79 pose: 1.5455 0.4013 0.0138 -0.0055 -0.0046 0.2710 0.9625
epoch: 80 pose: 1.5800 0.4225 0.0140 -0.0055 -0.0045 0.2758 0.9612
epoch: 81 pose: 1.6148 0.4442 0.0143 -0.0055 -0.0045 0.2799 0.9600
epoch: 82 pose: 1.6498 0.4665 0.0145 -0.0054 -0.0044 0.2841 0.9588
